Title,Url,Date,Description
FARC rebels warn Sarkozy against criticism,https://www.france24.com/en/20071206-farc-rebels-warn-sarkozy-against-criticism-colombia-france,6-Dec-07,Colombian guerrillas told French President Nicolas Sarkozy on Thursday to stop criticizing them if he hopes to gain the release of hostages including French-Colombian politician Ingrid Betancourt.
Ask our correspondent,https://www.france24.com/en/20071206-ask-correspondent-interactivity,6-Dec-07,What is the meaning of the rebellion led by Tutsi former General Laurent Nkunda? What role does Rwanda play in this conflict? France 24's correspondent Arnaud Zajtman in North-Kivu responds.
The rape of Kivu,https://www.france24.com/en/20071206-rape-kivu-france-24-report,6-Dec-07,"Since the start of the year 1,400 women have been raped in the North Kivu region, according to the UN, and a third of them were underage.  (Report: A. Zajtman)"
Army retakes rebels stronghold,https://www.france24.com/en/20071206-army-retakes-rebels-stronghold-news,6-Dec-07,"The Congolese army has retaken Mushake, in eastern Congo, a strategic village that was serving as the headquarters of Laurent Nkunda."
Supermarkets in India - will they work?,https://www.france24.com/en/20071206-supermarkets-india-will-they-work-,6-Dec-07,"Big supermarket chains – foreign and domestic – are taking aim at the Indian market: India’s growing middle class. But in a land where freshness is king, will it work?"
Ingrid Betancourt's letter,https://www.france24.com/en/20071205-ingrid-betancourts-letter-colombia-france,5-Dec-07,Ingrid Betancourt's relatives have released large extracts from the 12-page letter they received from the French-Colombian hostage on Friday. You can read the original French text below.
A leader of the Burmese resistance,https://www.france24.com/en/20071205-leader-burmese-resistance-burma,5-Dec-07,"Last September, the Burmese people, led by a legion of Buddhist monks, defied the military junta. We meet one of their leaders, who has been on the run for two months, in a secret sanctuary on the Thai-Burmese border. (Report: C. Payen)"
The man who could be president,https://www.france24.com/en/20071201-man-who-could-be-president-lebanon,1-Dec-07,"As the Lebanese Parliament continues postponing the vote to elect a new president, army chief Michel Sleiman has emerged as the likely candidate for the presidency."
Suleiman backed for Lebanese presidency,https://www.france24.com/en/20071202-suleiman-backed-lebanese-presidency-lebanon,1-Dec-07,Lebanon's Western-backed governing majority has announced that it will back army chief General Michel Suleiman as a compromise candidate for the vacant presidency.
Pro-Hezbollah sit-in: first anniversary,https://www.france24.com/en/20071202-pro-hezbollah-sit-first-anniversary-lebanon-hezbollah,1-Dec-07,Hundreds of Hezbollah supporters in Beirut on Saturday marked the first anniversary of their open-ended sit-in to bring down the government. (Report: S. Barden)
The man who could be president,https://www.france24.com/en/20071201-man-who-could-be-president-lebanon,30-Nov-07,"As the Lebanese Parliament continues postponing the vote to elect a new president, army chief Michel Sleiman has emerged as the likely candidate for the presidency."
A glimmer of hope for Lebanon,https://www.france24.com/en/20071130-glimmer-hope-lebanon-top-story,30-Nov-07,"The political vacuum in Lebanon may soon be filled. Chief Army General Michel Suleiman has emerged as the front-runner for the presidency, after the largest bloc in the Lebanese parliament decided to drop its veto."
Delusion of Zoe's Ark,https://www.france24.com/en/20071130-delusion-zoes-ark-reporters,30-Nov-07,"Stopped from bringing back over 100 children from Darfur, whom they claimed were orphans, six charity members now risk 20 years of forced labour in Chad."
A glimmer of hope for Lebanon,https://www.france24.com/en/20071130-glimmer-hope-lebanon-top-story,29-Nov-07,"The political vacuum in Lebanon may soon be filled. Chief Army General Michel Suleiman has emerged as the front-runner for the presidency, after the largest bloc in the Lebanese parliament decided to drop its veto."
Two candidates emerge from Lebanon deadlock,https://www.france24.com/en/20071127-two-candidates-emerge-lebanon-deadlock-lebanon,26-Nov-07,Lebanon's presidential election was delayed again as rival political factions failed to agree on a new president. Leading candidates today are Michel Edde and Robert Ghanem.
Lebanon faces presidential void,https://www.france24.com/en/20071123-lebanon-faces-presidential-void-lebanon-elections,23-Nov-07,"Lebanon's ruling coalition has will vote to elect a new head of state, while the Hezbollah-led opposition may boycott. Chances of reaching a consensus are dwindling before election deadline at midnight. (Report: C. Casali)"
The human face of the lending crisis,https://www.france24.com/en/20071123-human-face-lending-crisis-reporters,23-Nov-07,"As investors continue to worry about the sub-prime lending crisis, millions of ordinary Americans are feeling the punch. (Report: S.Claudet, H.Frade)"
Lebanon faces presidential void,https://www.france24.com/en/20071123-lebanon-faces-presidential-void-lebanon-elections,22-Nov-07,"Lebanon's ruling coalition has will vote to elect a new head of state, while the Hezbollah-led opposition may boycott. Chances of reaching a consensus are dwindling before election deadline at midnight. (Report: C. Casali)"
Patriarch submits list of presidential candidates,https://www.france24.com/en/20071116-patriarch-submits-list-presidential-candidates-lebanon,16-Nov-07,The parliament speaker and the head of the majority started mulling over Nasrallah Sfeir's list of potential candidates to take over for Syrian-backed President Emil Lahoud on Nov 21.
Meeting Abu Tayeb,https://www.france24.com/en/20071116-meeting-abu-tayeb-reporters,16-Nov-07,"In the heart of Taliban-controlled Afghanistan, FRANCE 24's Claire Billet meets Abu Tayeb, a Taliban special brigade commander. (13 min. report)"
The shady business of football,https://www.france24.com/en/20071117-shady-business-football-,16-Nov-07,"Fixed games, durty money, corruption... Is football drifting into mafia business?"
Patriarch submits list of presidential candidates,https://www.france24.com/en/20071116-patriarch-submits-list-presidential-candidates-lebanon,15-Nov-07,The parliament speaker and the head of the majority started mulling over Nasrallah Sfeir's list of potential candidates to take over for Syrian-backed President Emil Lahoud on Nov 21.
Lebanese presidential election postponed,https://www.france24.com/en/20071115-lebanese-presidential-election-postponed-lebanon,15-Nov-07,"The presidential election, initially scheduled for Nov. 12, will be delayed until Nov. 21. The paliamentary session to elect a president has already been postponed twice."
F24 exclusive interview with Hugo Chavez,https://www.france24.com/en/20071115-f24-exclusive-interview-with-hugo-chavez-special-coverage,15-Nov-07,Venezuelan President Hugo Chavez spoke to FRANCE 24's Pascale Mariani and Roméo Langlois about his negotiations with FARC leaders on the release of hostages.
Heading towards an institutional void,https://www.france24.com/en/20071114-heading-towards-institutional-void-lebanon,14-Nov-07,The Lebanese are holding their breath. The country is anticipating with dread the crucial date of November 21 - the date of the upcoming elections.
Lebanese presidential election postponed,https://www.france24.com/en/20071115-lebanese-presidential-election-postponed-lebanon,14-Nov-07,"The presidential election, initially scheduled for Nov. 12, will be delayed until Nov. 21. The paliamentary session to elect a president has already been postponed twice."
Kouchner visits Beirut,https://www.france24.com/en/20071112-kouchner-visits-beirut-france-lebanon,11-Nov-07,French Foreign Minister Bernard Kouchner travelled to Beirut on Monday to urge Lebanese parties to come to an agreement ahead of the presidential election scheduled for Nov. 21st.
Ten days inside Iraqi Kurdistan,https://www.france24.com/en/20071109-ten-days-inside-iraqi-kurdistan-reporters,9-Nov-07,"With 100,000 Turkish troops massing near the border, Iraq’s Kurds find themselves once again at the centre of international tension. (Report: L. Menget and F. Berruyer)"
