Title,Url,Date,Description
Castro publishes first editorial since surgery,https://www.france24.com/en/20070329-castro-publishes-first-editorial-surgery-cuba,29-Mar-07,"Ailing Cuban leader Fidel Castro has attacked the US over its plans to develop biofuels. In his first editorial since having surgery in July, Castro maintained that the US would deprive millions of nutrition."
Peace after decades of conflict,https://www.france24.com/en/20070312-peace-after-decades-conflict-northern-ireland,11-Mar-07,"Northern Ireland has faced decades of violence,leading to to the deaths of 3,600 people. A look back on this troubled period. (Report: N.Germain)"
Crunch time for self-rule,https://www.france24.com/en/20070308-crunch-time-self-rule-polls-close,7-Mar-07,FRANCE 24's Eve Irvine saw polls close in Belfast at 2200 GMT.
Voters go to the polls,https://www.france24.com/en/20070307-voters-go-polls-election-day,7-Mar-07,France 24's Eve Irvine reports as voting begins to elect a power-sharing administration.
Policing in Belfast,https://www.france24.com/en/20070307-policing-belfast-northern-ireland,7-Mar-07,"After Sinn Fein's recognition of the Police Service in January, the  service will be assigned a new name, new uniforms and 50 per cent of the force will comprise of Catholics. (Report: E.Irvine)"
More than just a political party,https://www.france24.com/en/20070306-more-just-political-party-sinn-fein,6-Mar-07,‘Shinners’ talk about what it means to join Northern Ireland’s leading republican party.
Touring a ‘no-go’ zone,https://www.france24.com/en/20070306-touring-%E2%80%98no-go%E2%80%99-zone-ex-prisoner,6-Mar-07,Former IRA prisoner Padraic Cotter gives tours of a West Belfast neighbourhood that was a no-go zone during ‘The Troubles.’
Changing face of Irish politics,https://www.france24.com/en/20070306-changing-face-irish-politics-immigration-politics,6-Mar-07,"Politics in Northern Ireland is no longer just a fight between republicans and unionists, as Chinese-born candidate Anna Lo can attest."
Election eve,https://www.france24.com/en/20070306-election-eve-live-belfast,6-Mar-07,FRANCE 24's Eve Irvine reports from Belfast on the night before of Northern Ireland's elections for a power-sharing assembly.
Policing in Belfast,https://www.france24.com/en/20070307-policing-belfast-northern-ireland,6-Mar-07,"After Sinn Fein's recognition of the Police Service in January, the  service will be assigned a new name, new uniforms and 50 per cent of the force will comprise of Catholics. (Report: E.Irvine)"
Election eve,https://www.france24.com/en/20070306-election-eve-live-belfast,5-Mar-07,FRANCE 24's Eve Irvine reports from Belfast on the night before of Northern Ireland's elections for a power-sharing assembly.
Sinn Fein: Unionists must join power-sharing,https://www.france24.com/en/20070302-sinn-fein-unionists-must-join-power-sharing-sharing-power,1-Mar-07,Sinn Fein maintained on Friday that unionists had no choice but to form power-sharing government. (Report: E. Irvine)
Tigers in Paris,https://www.france24.com/en/20070219-tigers-paris-france-24-special-report,19-Feb-07,"As the Tamil Tigers’ fight for independence heats up again in the island nation of Sri Lanka, on the other side of the world, in a bustling immigrant neighborhood in Paris, Tamils who fled the fighting find they can never fully escape."
Tigers in Paris,https://www.france24.com/en/20070212-tigers-paris-france-24-special-report,12-Feb-07,"As the Tamil Tigers’ fight for independence heats up again in the island nation of Sri Lanka, on the other side of the world, in a bustling immigrant neighborhood in Paris, Tamils who fled the fighting find they can never fully escape."
Senegal crashes out of Nations Cup,https://www.france24.com/en/20070131-senegal-crashes-out-nations-cup-2008-african-nations-cup,31-Jan-07,"Senegal and South Africa dropped out of the African Nations Cup after a disappointing 1-1 draw left both teams at the bottom of group D. Meanwhile, Tunisia and Angola move on to the quarter finals, where they will be taking on Cameroon and Egypt."
Ailing Castro appears on TV,https://www.france24.com/en/20070131-ailing-castro-appears-tv-cuba,31-Jan-07,"Emerging from months of seclusion, President Fidel Castro appeared on Cuban television Tuesday in apparent good spirits. Though many doubt that he is recovering, the images are said to have been filmed on Monday."
Boost for devolution after Sinn Fein vote,https://www.france24.com/en/20070129-boost-devolution-after-sinn-fein-vote-joint-policing,28-Jan-07,The Irish Republican party Sinn Fein has taken a historic decision in recognising the Police Service of Northern Ireland.
F1: what's all the hoo-ha?,https://www.france24.com/en/20070120-f1-whats-all-hoo-ha-formula-one-0,20-Jan-07,"Ridiculous speeds, petrol fumes, screaming engines… Formula One is the ultimate in guys' sports. But other than cars on a track, what's it really all about? James Mulholland tells us what keeps him glued to the screen."
F1: What's all the hoo-ha?,https://www.france24.com/en/20070120-f1-whats-all-hoo-ha-formula-one-1,20-Jan-07,"Ridiculous speeds, petrol fumes, screaming engines… Formula One is the ultimate in guys' sports. But other than cars on a track, what's it really all about? James Mulholland tells us what keeps him glued to the screen."
Europe angry with Russia in oil dispute,https://www.france24.com/en/20070109-europe-angry-with-russia-oil-dispute-russia-cuts-oil,9-Jan-07,The European Union has sharp criticism for Russia's stance in the oil row with Belarus.
Belarus and Russia find oil compromise,https://www.france24.com/en/20070110-belarus-russia-find-oil-compromise-oil-resources,9-Jan-07,"After a three-day deadlock, Russia and Belarus have found a solution to the row which had disrupted oil supplies to Europe."
Druzbha: Russia's 'friendship' pipeline to Europe,https://www.france24.com/en/20070110-druzbha-russias-friendship-pipeline-europe-pipeline,9-Jan-07,A look at the pipeline at the centre of the dispute over European oil supplies from Russia.
Russia and Belarus: friends who fell out,https://www.france24.com/en/20070110-russia-belarus-friends-who-fell-out-analysis,9-Jan-07,The energy trade dispute threatens a decade of negotiations between Belarus and Russia aimed at a joint state.
Europe angry with Russia in oil dispute,https://www.france24.com/en/20070109-europe-angry-with-russia-oil-dispute-russia-cuts-oil,8-Jan-07,The European Union has sharp criticism for Russia's stance in the oil row with Belarus.
